quote,author,likes,tags
“Be yourself; everyone else is already taken.”,Oscar Wilde,173574,
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,163649,
"“So many books, so little time.”",Frank Zappa,148435,
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,146805,
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,134004,
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,129067,
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,127656,
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,125673,
"“You only live once, but if you do it right, once is enough.”",Mae West,117878,
“Be the change that you wish to see in the world.”,Mahatma Gandhi,113570,
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,108457,
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,",101198,
“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”,Albert Camus,92687,
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,91350,
"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",Maya Angelou,87931,
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,",87792,
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,83817,
"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,83751,
“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,81229,
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,",77746,
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,77292,
“We accept the love we think we deserve.”,"Stephen Chbosky,",75418,
"“Without music, life would be a mistake.”","Friedrich Nietzsche,",73637,
“I am so clever that sometimes I don't understand a single word of what I am saying.”,"Oscar Wilde,",71329,
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,69262,
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",Steve Jobs,67904,
"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,64338,
"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",Marilyn Monroe,61908,
“It is better to be hated for what you are than to be loved for what you are not.”,"Andre Gide,",61404,
“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”,"H. Jackson Brown Jr.,",59939,
"“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”",Bob Marley,57670,
"“All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.”","J.R.R. Tolkien,",57506,
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","Jane Austen,",51318,
